,names,forms,pulici_ryha,lekova_forma,barva,tvar,konvexita,velikost,imprint
252,"Pioglitazon Actavis 15 mg tablety
Pioglitazon Actavis 30 mg tablety
Pioglitazon Actavis 45 mg tablety","Tableta.
Pioglitazon Actavis 15 mg tablety
Bílé, kulaté, ploché, zkosené tablety o průměru 5,5 mm s vyraženým “TZ15” na jedné straně.
Pioglitazon Actavis 30 mg tablety
Bílé, kulaté, ploché, zkosené tablety o průměru 7 mm s vyraženým “TZ30” na jedné straně.
Pioglitazon Actavis 45 mg tablety
Bílé, kulaté, ploché, zkosené tablety o průměru 8 mm s vyraženým “TZ45” na jedné straně.",False,tableta,"bílé, bílé, bílé",kulaté,,"['5,5 mm', '7 mm', '8 mm']",
253,"Implicor 25 mg/5 mg potahované tablety
Implicor 50 mg/5 mg potahované tablety
Implicor 25 mg/7,5 mg potahované tablety
Implicor 50 mg/7,5 mg potahované tablety","Potahovaná tableta.
Bílá, kulatá potahovaná tableta (25/5 mg) o průměru 7,3 mm, na jedné straně vyraženo a na druhé
straně vyraženo.
Bílá, kulatá potahovaná tableta (50/5 mg) o průměru 8,5 mm, na jedné straně vyraženo a na druhé
straně vyraženo.
Bílá, podlouhlá potahovaná tableta (25/7,5 mg) o délce 9,3 mm a šířce 5,8 mm, na jedné straně
vyraženo a na druhé straně vyraženo.
Bílá, podlouhlá potahovaná tableta (50/7,5 mg) o délce 10,8 mm a šířce 6,7 mm, na jedné straně
vyraženo a na druhé straně vyraženo.",False,potahovaná tableta,"bílá, bílá, bílá, bílá",kulatá,,"['7,3 mm', '8,5 mm', '9,3 mm', '5,8 mm', '10,8 mm', '6,7 mm']",
254,"Verospiron 50 mg
tvrdé tobolky
Verospiron 100 mg
tvrdé tobolky","Tvrdá tobolka.
Popis přípravku:
Verospiron 50 mg: tvrdá želatinová neprůhledná tobolka, vrchní část žlutá, spodní část bílá, uvnitř bílý
jemný prášek.
Verospiron 100 mg: tvrdá želatinová neprůhledná tobolka, vrchní část oranžová, spodní část žlutá,
uvnitř bílý jemný prášek.",False,tvrdá tobolka,"žlutá, bílá, bílý, oranžová, žlutá, bílý",tobolka.,tobolka.,,
255,"RIVOCOR 5 mg potahované tablety
RIVOCOR 10 mg potahované tablety","Potahovaná tableta
Rivocor 5 mg: kulaté, bikonvexní, potahované tablety barvy slonové kosti s půlicí rýhou na jedné
straně.
Tabletu lze rozdělit na stejné dávky.
Rivocor 10 mg: kulaté, bikonvexní, potahované tablety barvy světle hnědé s půlicí rýhou na jedné
straně.
Tabletu lze rozdělit na stejné dávky.",True,potahovaná tableta,"slonové, hnědé",kulaté,bikonvexní,,
256,TAKHZYRO 300 mg injekční roztok,"Injekční roztok.
Roztok je bezbarvý až světle žlutý a jeví se čirý nebo slabě opalescentní.
Roztok má pH přibližně 6,0 a osmolalitu přibližně 300 mOsm/kg.",False,injekční roztok,"bezbarvý, žlutý",roztok.,roztok.,,
257,"Repatha 140 mg injekční roztok v předplněné injekční stříkačce
Repatha 140 mg injekční roztok v předplněném peru
Repatha 420 mg injekční roztok v zásobní vložce","Injekční roztok (injekce).
Injekční roztok (injekce) v předplněném peru (SureClick).
Injekční roztok (injekce) (automatický minidávkovač).
Čirý až opalescentní, bezbarvý až nažloutlý roztok neobsahující prakticky žádné částice.",False,injekční roztok (injekce),"bezbarvý, nažloutlý",roztok,roztok,,
258,Asacol 800 mg enterosolventní tablety,"Enterosolventní tablety
Popis přípravku: Potahovaná hnědočervená podlouhlá bikonvexní tableta s matným hladkým
povrchem.",False,enterosolventní tablety,hnědočervená,podlouhlá,bikonvexní,,
259,"Bosentan Abdi 62,5 mg potahované tablety
Bosentan Abdi 125 mg potahované tablety","Potahovaná tableta.
Světle oranžové, kulaté, bikonvexní, potahované tablety o průměru 6 mm.
Světle oranžové, oválné, bikonvexní, potahované tablety o délce 11 mm.",False,potahovaná tableta,"oranžové, oranžové",kulaté,bikonvexní,"['6 mm', '11 mm']",
260,CYSTAGON 50 mg tvrdé tobolky,"Tvrdá tobolka
Bílá, matná trvdá tobolka s nápisem CYSTA 50 na spodní části tobolky a s nápisem MYLAN na
svrchní části tobolky.",False,tvrdá tobolka,bílá,tobolka,tobolka,,
261,"CARZAP HCT 32 mg/12,5 mg tablety","Tableta
CARZAP HCT 32 mg/ 12,5 mg tablety: žluté, bikonvexní, oválné nepotahované tablety o rozměrech
(12x6 mm), s půlicí rýhou na jedné straně. Půlicí rýha má pouze usnadnit dělení tablety pro snazší
polykání, nikoliv její rozdělení na stejné dávky.",True,tableta,žluté,oválné,bikonvexní,['6 mm'],
262,PERINDOPRIL RATIOPHARM 4 mg tablety,"Tableta.
Vzhled přípravku: bílé, podlouhlé, bikonvexní tablety se zkosenými hranami a půlicí rýhou na jedné
straně.
Tabletu lze rozdělit na stejné dávky.",True,tableta,bílé,podlouhlé,bikonvexní,,
263,"INEGY 10 mg/10 mg tablety
INEGY 10 mg/20 mg tablety
INEGY 10 mg/40 mg tablety","Tableta.
Bílé až téměř bílé tablety ve tvaru tobolek s označením „311”, „312” nebo „313” na jedné straně.",False,tableta,"bílé, bílé",tobolek,tobolek,,
264,Rapiscan 400 mikrogramů injekční roztok,"Injekční roztok
Čirý, bezbarvý roztok.",False,injekční roztok,bezbarvý,roztok,roztok,,
265,"Volibris 5 mg potahované tablety
Volibris 10 mg potahované tablety","Potahovaná tableta (tableta).
Volibris 5 mg potahované tablety
Světle růžové, čtvercovité, vypouklé potahované tablety s vyraženým ""GS"" na jedné straně a ""K2C""
na straně druhé.
Volibris 10 mg potahované tablety
Tmavě růžové, oválné, vypouklé potahované tablety s vyraženým ""GS"" na jedné straně a ""KE3"" na
straně druhé.",False,potahovaná tableta (tableta),"růžové, růžové",oválné,,,"""GS"", ""K2C"", ""GS"", ""KE3"""
266,"INEGY 10 mg/10 mg tablety
INEGY 10 mg/20 mg tablety
INEGY 10 mg/40 mg tablety","Tableta.
Bílé až téměř bílé tablety ve tvaru tobolek s označením „311”, „312” nebo „313” na jedné straně.",False,tableta,"bílé, bílé",tobolek,tobolek,,
267,Trajenta 5 mg potahované tablety,"Potahovaná tableta (tableta).
Světle červená kulatá potahovaná tableta o průměru 8 mm s označením „D5“ na jedné straně a logem
společnosti Boehringer Ingelheim na straně druhé.",False,potahovaná tableta (tableta),červená,kulatá,gelheim,['8 mm'],„D5“
268,"MUTAFLOR
Enterosolventní tvrdé tobolky","Enterosolventní tvrdé tobolky
Popis přípravku: tvrdá tobolka s červenohnědým enterosolventním potahem, uvnitř s béžovým
práškem charakteristického zápachu.",False,enterosolventní tvrdé tobolky,"červenohnědým, béžovým",tobolky,tobolky,,
269,Omeprazol STADA 20 mg enterosolventní tvrdé tobolky,"Enterosolventní tvrdá tobolka
Neprůhledné bílé tobolky s potiskem „OM“ a „20“ obsahující téměř bílé až krémově bílé kulaté
mikrogranule.",False,enterosolventní tvrdá tobolka,"bílé, bílé, krémově, bílé",tobolka,tobolka,,"„OM“, „20“"
270,SMECTA 3 g prášek pro perorální suspenzi,"prášek pro perorální suspenzi
Popis: šedobílý až okrový jemný prášek s vůní vanilky",False,prášek pro perorální suspenzi,bílý,,,,
271,"Tolura 20 mg, tablety","Tableta.
20 mg: bílé až skoro bílé, kulaté tablety.",False,tableta,"bílé, bílé",kulaté,,,
272,"Amprilan H 2,5 mg/12,5 mg tablety
Amprilan H 5 mg/25 mg tablety","Tableta.
Amprilan H 2,5 mg/12,5 mg, tablety: bílé až téměř bílé podlouhlé, nepotahované ploché tablety
s půlící rýhou na jedné straně a označením „12,5“ na druhé straně. Půlicí rýha má pouze usnadnit
dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné dávky.
Amprilan H 5 mg/25 mg, tablety: bílé až téměř bílé podlouhlé, nepotahované ploché tablety s půlící
rýhou na jedné straně a označením „25“ na druhé straně. Tabletu lze rozdělit na stejné dávky.",True,tableta,"bílé, bílé, bílé, bílé",podlouhlé,,,"„12,5“, „25“"
273,"Ezetimibe/Simvastatin Teva 10 mg/10 mg tablety
Ezetimibe/Simvastatin Teva 10 mg/20 mg tablety","Tableta
Přípravek Ezetimibe/Simvastatin Teva 10 mg/10 mg: Bílé až téměř bílé tablety ve tvaru tobolek s
označením „93“ na jedné straně a „7584“ na druhé straně.
Přípravek Ezetimibe/Simvastatin Teva 10mg/20 mg: Bílé až téměř bílé tablety ve tvaru tobolek s
označením „E10“ na jedné straně a „S20“ na druhé straně.",False,tableta,"bílé, bílé, bílé, bílé",tobolek,tobolek,,"„93“, „7584“, „E10“, „S20“"
274,"Atorvastatin Mylan 10 mg potahované tablety
Atorvastatin Mylan 20 mg potahované tablety
Atorvastatin Mylan 40 mg potahované tablety","Potahovaná tableta.
Bílé, oválné, bikonvexní potahované tablety, přibližně 9,2 mm x 4,7 mm, na jedné straně s vyraženým „10“,
hladká na druhé straně.
Bílé, oválné, bikonvexní potahované tablety, přibližně 11,2 mm x 6,2 mm, na jedné straně a vyraženým
„20“, s půlicí rýhou na druhé straně. Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykaní,
nikoliv její rozdělení na stejné dávky.
Bílé, oválné, bikonvexní potahované tablety, přibližně 14,2 mm x 7,2 mm, na jedné straně a vyraženým
„40“, s půlicí rýhou na druhé straně. Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání,
nikoliv její rozdělení na stejné dávky.",True,potahovaná tableta,"bílé, bílé, bílé",oválné,bikonvexní,"['9,2 mm', '4,7 mm', '11,2 mm', '6,2 mm', '14,2 mm', '7,2 mm']","„10“, „20“, „40“"
275,Budenofalk 3 mg enterosolventní tvrdé tobolky,"Enterosolventní tvrdé tobolky
Popis přípravku: růžové tvrdé želatinové neprůhledné tobolky, uvnitř bílé kulaté pelety",False,enterosolventní tvrdé tobolky,"růžové, bílé",tobolky,tobolky,,
276,"Moxonidin Mylan 0,2 mg potahované tablety
Moxonidin Mylan 0,3 mg potahované tablety
Moxonidin Mylan 0,4 mg potahované tablety
moxonidinum","Potahovaná tableta
Moxonidin Mylan 0,2 mg: světle růžová, kulatá, potahovaná tableta o průměru 6 mm
Moxonidin Mylan 0,3 mg: růžová, kulatá, potahovaná tableta o průměru 6 mm
Moxonidin Mylan 0,4 mg: tmavě růžová, kulatá, potahovaná tableta o průměru 6 mm",False,potahovaná tableta,"růžová, růžová, růžová",kulatá,,"['6 mm', '6 mm', '6 mm']",
277,Twynsta 40 mg/5 mg tablety,"Tableta
Modrobílé oválné dvouvrstvé tablety s vyrytým kódem přípravku A1 a logem společnosti na bílé
vrstvě.",False,tableta,"modrobílé, bílé",oválné,,,
278,Degan 5 mg/ml injekční roztok,"injekční roztok
Čirý bezbarvý roztok bez viditelných částic.",False,injekční roztok,bezbarvý,roztok,roztok,,
279,"Concor COR 2,5 mg potahované tablety
Concor COR 5 mg potahované tablety
Concor COR 10 mg potahované tablety","Potahovaná tableta
Concor COR 2,5 mg: bílé, bikonvexní potahované tablety srdčitého tvaru s půlicí rýhou na obou
stranách.
Concor COR 5 mg: žlutavě bílé, bikonvexní potahované tablety srdčitého tvaru s půlicí rýhou na
obou stranách.
Concor COR 10 mg: bledě oranžové až světle oranžové, bikonvexní potahované tablety srdčitého
tvaru s půlicí rýhou na obou stranách.
Tabletu lze rozdělit na stejné dávky.",True,potahovaná tableta,"bílé, žlutavě, bílé, oranžové, oranžové",srdčitého tvaru,bikonvexní,,
280,"Amlator 10 mg/5 mg potahované tablety
Amlator 10 mg/10 mg potahované tablety
Amlator 20 mg/5 mg potahované tablety
Amlator 20 mg/10 mg potahované tablety","Potahovaná tableta
Amlator 10 mg/5 mg potahované tablety jsou bílé, kulaté, bikonvexní potahované tablety o průměru
přibližně 9,00 mm. Na jedné straně vyraženo “CE3”, druhá strana hladká.
Amlator 10 mg/10 mg potahované tablety jsou bílé, kulaté, bikonvexní potahované tablety o průměru
přibližně 9,00 mm. Na jedné straně vyraženo “CE5”, druhá strana hladká.
Amlator 20 mg/5 mg potahované tablety jsou bílé, podlouhlé, bikonvexní potahované tablety, velikost
přibližně 15,5 x 8,0 mm. Na jedné straně vyraženo “CE4”, druhá strana hladká.
Amlator 20 mg/10 mg potahované tablety jsou bílé, podlouhlé, bikonvexní potahované tablety,
velikost přibližně 15,5 x 8,0 mm. Na jedné straně vyraženo “CE6”, druhá strana hladká.",False,potahovaná tableta,"bílé, bílé, bílé, bílé",kulaté,bikonvexní,"['9,00 mm', '9,00 mm', '8,0 mm', '8,0 mm']",
281,"Gopten 0,5 mg tvrdé tobolky
Gopten 2 mg tvrdé tobolky","Tvrdá tobolka
Popis přípravku:
Gopten 0,5 mg: tvrdé, želatinové tobolky se spodní částí červenou, vrchní částí světle žlutou, obsahující
bílý prášek.
Gopten 2 mg: tvrdé, želatinové tobolky se spodní i vrchní částí červenou, obsahující bílý prášek.",False,tvrdá tobolka,"červenou, žlutou, bílý, červenou, bílý",tobolka,tobolka,,
282,Cerezyme 400 jednotek prášek na přípravu koncentrátu pro infúzní roztok,"Prášek na přípravu koncentrátu pro infúzní roztok.
Přípravek Cerezyme je bílý až téměř bílý prášek.",False,prášek na přípravu koncentrátu pro infúzní roztok,"bílý, bílý",roztok.,roztok.,,
283,Carsaxa 100 mg tablety,"Tableta
Bílá až téměř bílá, kulatá tableta čočkovitého tvaru, na jedné straně s půlicí rýhou, průměr 7 mm.
Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné
dávky.",True,tableta,"bílá, bílá",kulatá,,['7 mm'],
284,"ISAME 75 mg tablety
ISAME 150 mg tablety
ISAME 300 mg tablety","Tableta.
ISAME 75 mg: Bílé, kulaté ploché tablety o průměru 8,0 mm s půlicí rýhou. Půlicí rýha má pouze
usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné dávky.
ISAME 150 mg: Bílé, kulaté ploché tablety o průměru 10,5 mm s půlicí rýhou. Půlicí rýha má pouze
usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné dávky.
ISAME 300 mg: Bílé, kulaté ploché tablety o průměru 12,7 mm s půlicí rýhou. Tabletu lze rozdělit na
stejné dávky.",True,tableta,"bílé, bílé, bílé",kulaté,,"['8,0 mm', '10,5 mm', '12,7 mm']",
285,"Ebrantil retard 30 mg tvrdé tobolky s prodlouženým uvolňováním
Ebrantil retard 60 mg tvrdé tobolky s prodlouženým uvolňováním","Tvrdá tobolka s prodlouženým uvolňováním.
Popis přípravku
Ebrantil retard 30 mg: žluté, neprůhledné tvrdé želatinové tobolky s černým označením Ebr 30 na
spodní části tobolky, obsahující homogenní žluté pelety.
Ebrantil retard 60 mg: tvrdé želatinové tobolky, spodní část růžová, vrchní část červená, spodní část
(růžová) s potiskem Ebr 60, uvnitř homogenní žluté pelety.",False,tvrdá tobolka s prodlouženým uvolňováním,"žluté, černým, žluté, růžová, červená, růžová), žluté",tobolka,tobolka,,
286,"Ramomark 5 mg/5 mg tvrdé tobolky
Ramomark 5 mg/10 mg tvrdé tobolky
Ramomark 10 mg/5 mg tvrdé tobolky
Ramomark 10 mg/10 mg tvrdé tobolky","Tvrdá tobolka.
Ramomark 5 mg/5 mg: tvrdé želatinové tobolky o délce 19 mm, s neprůhledným růžovým víčkem a
neprůhledným tělem bílé barvy, obsahující bílý nebo téměř bílý prášek.
Ramomark 5 mg/10 mg: tvrdé želatinové tobolky o délce 19 mm, s neprůhledným červeno-hnědým
víčkem a neprůhledným tělem bílé barvy, obsahující bílý nebo téměř bílý prášek.
Ramomark 10 mg/5 mg: tvrdé želatinové tobolky o délce 19 mm, s neprůhledným tmavě růžovým
víčkem a neprůhledným tělem bílé barvy, obsahující bílý nebo téměř bílý prášek.
Ramomark 10 mg/10 mg: tvrdé želatinové tobolky o délce 19 mm, s neprůhledným hnědým víčkem a
neprůhledným tělem bílé barvy, obsahující bílý nebo téměř bílý prášek.",False,tvrdá tobolka,"růžovým, bílé, bílý, bílý, červeno-, hnědým, bílé, bílý, bílý, růžovým, bílé, bílý, bílý, hnědým, bílé, bílý, bílý",tobolka.,tobolka.,"['19 mm', '19 mm', '19 mm', '19 mm']",
287,"Glyvenol 400
měkké tobolky","Měkká tobolka.
Popis přípravku: oranžová transparentní oválná tobolka, na jedné straně potisk CIBA, na druhé straně
potisk FU, uvnitř bezbarvá až nažloutlá olejovitá tekutina.",False,měkká tobolka,"oranžová, bezbarvá, nažloutlá",tobolka.,tobolka.,,
288,"Priamlo 4 mg/5 mg tablety
Priamlo 4 mg/10 mg tablety
Priamlo 8 mg/5 mg tablety
Priamlo 8 mg/10 mg tablety","Tableta.
Priamlo 4 mg/5 mg: Bílé až téměř bílé kulaté tablety s vyraženým označením 4/5 na jedné straně (přibližně
7,0 mm).
Priamlo 4 mg/10 mg: Bílé až téměř bílé kulaté tablety s vyraženým označením 4/10 na jedné straně
(přibližně 9,4 mm).
Priamlo 8 mg/5 mg: Bílé až téměř bílé kulaté tablety s vyraženým označením 8/5 na jedné straně (přibližně
9,4 mm).
Priamlo 8 mg/10 mg: Bílé až téměř bílé kulaté tablety s vyraženým označením 8/10 na jedné straně
(přibližně 9,4 mm).",False,tableta,"bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé",kulaté,,"['7,0 mm', '9,4 mm', '9,4 mm', '9,4 mm']",
289,Thiogamma Oral 600 mg potahované tablety,"Potahovaná tableta.
Světle žluté podlouhlé potahované tablety s půlící rýhou.
Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné
dávky.",True,potahovaná tableta,žluté,podlouhlé,,,
290,PROPANORM 150 mg potahované tablety,"Potahovaná tableta.
Bílé, kulaté, bikonvexní potahované tablety.",False,potahovaná tableta,bílé,kulaté,bikonvexní,,
291,ACECOR 400 mg potahované tablety,"Potahovaná tableta
Popis přípravku: bílé, kulaté, bikonvexní, potahované tablety s půlicí rýhou na jedné straně, o průměru
12 mm.
Tabletu lze rozdělit na stejné dávky.",True,potahovaná tableta,bílé,kulaté,bikonvexní,['12 mm'],
292,"Cardiket retard 20 mg tablety s prodlouženým uvolňováním
Cardiket retard 40 mg tablety s prodlouženým uvolňováním
Cardiket retard 120 mg tvrdé tobolky s prodlouženým uvolňováním","Cardiket retard 20 mg, 40 mg: tableta s prodlouženým uvolňováním.
Cardiket retard 120 mg: tvrdá tobolka s prodlouženým uvolňováním.
Popis přípravku:
Cardiket retard 20 mg: bílé tablety, z jedné strany ploché s rýhou a označením ""IR"" a ""20"", z druhé
strany vypouklé, s označením ""Schwarz Pharma"". Půlicí rýha není určena k rozlomení tablety.
Cardiket retard 40 mg: bílé tablety, z jedné strany ploché s rýhou a označením ""IR"" a ""40"", z druhé
strany vypouklé, s označením ""Schwarz Pharma"". Půlicí rýha není určena k rozlomení tablety.
Cardiket retard 120 mg: tvrdé neprůhledné želatinové tobolky karamelové barvy obsahující bílé až
béžové pelety potažené retardující vrstvou.",False,"cardiket retard 20 mg, 40 mg: tableta s prodlouženým uvolňováním","bílé, bílé, bílé, béžové",tobolka,tobolka,,"""IR"", ""20"", ""Schwarz Pharma"", ""IR"", ""40"", ""Schwarz Pharma"""
293,Ruconest 2100 jednotek prášek pro injekční roztok.,"Prášek pro injekční roztok.
Bílý až téměř bílý prášek.",False,prášek pro injekční roztok,"bílý, bílý",roztok.,roztok.,,
294,ADVATE 250 IU prášek a rozpouštědlo pro injekční roztok.,"Prášek a rozpouštědlo pro injekční roztok.
Prášek: Bílý až téměř bílý drobivý prášek.
Rozpouštědlo: Čirý, bezbarvý roztok.",False,prášek a rozpouštědlo pro injekční roztok,"bílý, bílý, bezbarvý",roztok.,roztok.,,
295,Pentilin 100 mg/5 ml injekční/infuzní roztok,"Injekční/infuzní roztok
Pentilin 100 mg /5 ml injekční/infuzní roztok: čirý, bezbarvý roztok.",False,injekční/infuzní roztok,bezbarvý,roztok,roztok,,
296,Aspirin Protect 100 mg enteroslolventní tablety,"Enterosolventní tableta.
Aspirin Protect : bílé kulaté bikonvexní enterosolventní tablety o průměru 7 mm",False,enterosolventní tableta,bílé,kulaté,bikonvexní,['7 mm'],
297,"Enap-HL 10 mg/12,5 mg tablety
Enap-H 10 mg/25 mg tablety","Tableta.
Enap-HL: bílé, kulaté, ploché tablety se zkosenými hranami, s půlicí rýhou na jedné straně.
Enap-H: žluté, kulaté, ploché tablety se zkosenými hranami, s půlicí rýhou na jedné straně.
Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné
dávky.",True,tableta,"bílé, žluté",kulaté,,,
298,"Mundisal 87,1 mg/g orální gel","Orální gel
Čirý viskózní bezbarvý až slabě nažloutlý gel vonící po anýzu",False,orální gel,"bezbarvý, nažloutlý",gel,gel,,
299,"Inhixa 2000 IU (20 mg)/ 0,2 ml injekční roztok","Injekční roztok v předplněné injekční stříkačce.
Čirý, bezbarvý až světle žlutý roztok.",False,injekční roztok v předplněné injekční stříkačce,"bezbarvý, žlutý",roztok,roztok,,
300,"Atorvastatin Actavis 10 mg potahované tablety
Atorvastatin Actavis 20 mg potahované tablety
Atorvastatin Actavis 40 mg potahované tablety","Potahované tablety
10 mg: bílé, kulaté, bikonvexní potahované tablety o průměru 7 mm.
20 mg: bílé, kulaté, bikonvexní potahované tablety o průměru 9 mm.
40 mg: bílé, oválné, bikonvexní potahované tablety o rozměrech 8,2 x 17 mm.",False,potahované tablety,"bílé, bílé, bílé",kulaté,bikonvexní,"['7 mm', '9 mm', '17 mm']",
301,"Jardiance 10 mg potahované tablety
Jardiance 25 mg potahované tablety","Potahovaná tableta (tableta).
Jardiance 10 mg potahované tablety
Kulatá, světle žlutá bikonvexní potahovaná tableta se zkosenými hranami s vyražením „S10“ na jedné
straně a logem společnosti Boehringer Ingelheim na straně druhé (průměr tablety: 9,1 mm).
Jardiance 25 mg potahované tablety
Oválná, světle žlutá bikonvexní potahovaná tableta s vyražením „S25“ na jedné straně a logem
společnosti Boehringer Ingelheim na straně druhé (délka tablety: 11,1 mm, šířka tablety: 5,6 mm).",False,potahovaná tableta (tableta),"žlutá, žlutá",kulatá,bikonvexní,"['9,1 mm', '11,1 mm', '5,6 mm']","„S10“, „S25“"
302,"Levemir Penfill100 jednotek/ml injekční roztok v zásobní vložce
Levemir FlexPen 100 jednotek/ml injekční roztok v předplněném peru.
Levemir InnoLet 100 jednotek/ml injekční roztok v předplněném peru.
Levemir FlexTouch 100 jednotek/ml injekční roztok v předplněném peru.","Injekční roztok
Vodný roztok je čirý a bezbarvý.",False,injekční roztok,bezbarvý.,roztok,roztok,,
303,"Secatoxin forte 2,5 mg/ml perorální kapky, roztok","Perorální kapky, roztok.
Čirá, bezbarvá až slabě žlutá kapalina.",False,"perorální kapky, roztok","bezbarvá, žlutá",roztok.,roztok.,,
304,"Zibor 2500 IU/0,2 ml injekční roztok v předplněné injekční stříkačce","Injekční roztok v předplněné injekční stříkačce
Popis přípravku: Bezbarvý či mírně nažloutlý, čirý roztok bez viditelných částic.",False,injekční roztok v předplněné injekční stříkačce,"bezbarvý, nažloutlý",roztok,roztok,,
305,"Yal 13,4 g/0,01 g rektální roztok","Rektální roztok.
Popis přípravku: čirý bezbarvý roztok.",False,rektální roztok,bezbarvý,roztok.,roztok.,,
306,"IMODIUM
tvrdé tobolky","Tvrdá tobolka
Tvrdé neprůhledné želatinové tobolky, vrchní část tmavě zelené barvy, spodní část světle zelené barvy,
obsahující bílý prášek.",False,tvrdá tobolka,"zelené, zelené, bílý",tobolka,tobolka,,
307,"Atoris 10 mg potahované tablety
Atoris 20 mg potahované tablety
Atoris 40 mg potahované tablety","Potahované tablety
Atoris 10: bílé, kulaté, lehce konvexní potahované tablety
Atoris 20: bílé, kulaté, lehce konvexní potahované tablety
Atoris 40: bílé, kulaté, lehce konvexní potahované tablety",False,potahované tablety,"bílé, bílé, bílé",kulaté,konvexní,,
308,"TANTUM VERDE
1,5 mg/ml
kloktadlo","Kloktadlo
Popis přípravku: zelený, čirý roztok s mentolovou vůní",False,kloktadlo,zelený,roztok,roztok,,
309,Butylskopolaminium bromid Kalceks 20 mg/ml injekční roztok,"Injekční roztok
Čirý, bezbarvý nebo téměř bezbarvý roztok bez viditelných částic.
pH roztoku je 3,7-5,5.",False,injekční roztok,"bezbarvý, bezbarvý",roztok,roztok,,
310,"Warfarin Orion 3 mg tablety
Warfarin Orion 5 mg tablety","Tablety.
Warfarin Orion 3 mg - světle modré ploché tablety s půlicí rýhou a symbolem ORN 17, které mohou
být skvrnité. Tabletu lze rozdělit na stejné dávky.
Warfarin Orion 5 mg - světle růžové ploché tablety s půlicí rýhou a symbolem ORN 18, které mohou
být skvrnité. Tabletu lze rozdělit na stejné dávky.",True,tablety,"modré, růžové",ploché,,,
311,CADUET 10 mg/10 mg potahované tablety,"Potahovaná tableta
Modré podlouhlé potahované tablety, na jedné straně je vyraženo “Pfizer“, na druhé straně „CDT 101“.",False,potahovaná tableta,modré,podlouhlé,,,„CDT 101“
312,"BISOCARD 5
5 mg
BISOCARD 10
10 mg
potahované tablety","Potahovaná tableta
Bisocard 5: světle žluté, bikonvexní potahované tablety, na jedné straně s půlicí rýhou a na druhé
straně s vyraženou číslicí 5.
Bisocard 10: světle růžové, bikonvexní potahované tablety, na jedné straně s půlicí rýhou a na druhé
straně s vyraženou číslicí 10.
Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné
dávky.",True,potahovaná tableta,"žluté, růžové",,bikonvexní,,
313,"NovoNorm 0,5 mg tablety","Tablety
Tablety s repaglinidem jsou bílé, kulaté a konvexní s vyrytým logem společnosti Novo Nordisk (býk
Apis).",False,tablety,bílé,kulaté,konvexní,,
314,"Tezeo HCT 40 mg/12,5 mg tablety
Tezeo HCT 80 mg/12,5 mg tablety
Tezeo HCT 80 mg/25 mg tablety","Tableta.
Tezeo HCT 40 mg/12,5 mg: Téměř bílé až nažloutlé podlouhlé bikonvexní tablety, s vyraženým ""41""
na jedné straně, 12 mm dlouhé a 6 mm široké.
Tezeo HCT 80 mg/12,5 mg: Téměř bílé až nažloutlé podlouhlé bikonvexní tablety, s vyraženým ""81""
na jedné straně, 16,5 mm dlouhé a 8,3 mm široké.
Tezeo HCT 80 mg/25 mg: Téměř bílé až nažloutlé podlouhlé bikonvexní tablety, s vyraženým ""82"" na
jedné straně, 16 mm dlouhé a 8 mm široké.",False,tableta,"bílé, nažloutlé, bílé, nažloutlé, bílé, nažloutlé",podlouhlé,bikonvexní,"['12 mm', '6 mm', '16,5 mm', '8,3 mm', '16 mm', '8 mm']","""41"", ""81"", ""82"""
315,EMEND 40 mg tvrdé tobolky,"Tvrdá tobolka.
Tobolky jsou matné s bílým tělem a hořčicově žlutým víčkem; na těle je cirkulárně černým inkoustem
vytištěno „464“ a „40 mg“.",False,tvrdá tobolka,"bílým, žlutým, černým",tobolka.,tobolka.,,"„464“, „40 mg“"
316,"Aethoxysklerol 0,5 % injekční roztok
Aethoxysklerol 1 % injekční roztok
Aethoxysklerol 2 % injekční roztok
Aethoxysklerol 3 % injekční roztok","Injekční roztok
Popis: čirý, bezbarvý až žlutozelený roztok, neobsahující cizí částice",False,injekční roztok,"bezbarvý, žlutozelený",roztok,roztok,,
317,Competact 15 mg/850 mg potahované tablety,"Potahovaná tableta (tableta).
Tablety jsou bílé až bělavé, protáhlé a potahované, s označením „15 / 850“ na jedné straně a „4833M“
na straně druhé.",False,potahovaná tableta (tableta),bílé,,,,"„15 / 850“, „4833M“"
318,"Venoruton Forte
Tablety","Tableta.
Popis přípravku:
Žlutošedé, mírně skvrnité, kulaté, bikonvexní tablety označené na jedné straně znakem firmy Zyma, na
druhé straně CV.",False,tableta,žlutošedé,kulaté,bikonvexní,,
